rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split0_train_score
1,-0.13400492557337498,0.0,-0.06306906866285622,0.0,0.01502680778503418,0.0,0.0013911724090576172,0.0,10,{'model__alpha': 10},-0.13400492557337498,-0.06306906866285622
2,-0.1367243370548178,0.0,-0.06726123233920449,0.0,0.014750242233276367,0.0,0.0013468265533447266,0.0,100,{'model__alpha': 100},-0.1367243370548178,-0.06726123233920449
3,-0.14295068763191912,0.0,-0.062256429341352934,0.0,0.01176905632019043,0.0,0.0012378692626953125,0.0,1,{'model__alpha': 1},-0.14295068763191912,-0.062256429341352934
4,-0.17587666932513654,0.0,-0.10277062711369916,0.0,0.010610818862915039,0.0,0.0012919902801513672,0.0,1000,{'model__alpha': 1000},-0.17587666932513654,-0.10277062711369916
5,-0.3297249665405681,0.0,-0.060398450425147986,0.0,0.019240856170654297,0.0,0.0015990734100341797,0.0,0.1,{'model__alpha': 0.1},-0.3297249665405681,-0.060398450425147986
6,-0.42067929034345186,0.0,-0.2997662539204863,0.0,0.009999990463256836,0.0,0.0010559558868408203,0.0,10000,{'model__alpha': 10000},-0.42067929034345186,-0.2997662539204863
7,-0.6399200724173749,0.0,-0.059874373947105576,0.0,0.01663804054260254,0.0,0.001567840576171875,0.0,0.01,{'model__alpha': 0.01},-0.6399200724173749,-0.059874373947105576
8,-0.7071069312651637,0.0,-0.05986080110083464,0.0,0.02585005760192871,0.0,0.0032279491424560547,0.0,0.001,{'model__alpha': 0.001},-0.7071069312651637,-0.05986080110083464
9,-0.7145476186833611,0.0,-0.05986064738328807,0.0,0.018452882766723633,0.0,0.0011370182037353516,0.0,0.0001,{'model__alpha': 0.0001},-0.7145476186833611,-0.05986064738328807
